,Unnamed: 0,anime_id,title,type,source,episodes,airing,aired_string,duration,rating,score,scored_by,rank,popularity,members,favorites,premiered,broadcast,producer,studio,genre1,genre2,genre3
0,0,11013,Inu x Boku SS,TV,Manga,12,False,"Jan 13, 2012 to Mar 30, 2012",24 min. per ep.,PG-13 - Teens 13 or older,7.63,139250,1274.0,231,283882,2809,Winter 2012,Fridays at Unknown,"Aniplex, Square Enix, Mainichi Broadcasting System, Movic, Inu x Boku SS Production Partners",David Production,Comedy, Supernatural, Romance
1,1,2104,Seto no Hanayome,TV,Manga,26,False,"Apr 2, 2007 to Oct 1, 2007",24 min. per ep.,PG-13 - Teens 13 or older,7.89,91206,727.0,366,204003,2579,Spring 2007,Unknown,"TV Tokyo, AIC, Square Enix, Sotsu",Gonzo,Comedy, Parody, Romance
2,2,5262,Shugo Chara!! Doki,TV,Manga,51,False,"Oct 4, 2008 to Sep 25, 2009",24 min. per ep.,PG - Children,7.55,37129,1508.0,1173,70127,802,Fall 2008,Unknown,"TV Tokyo, Sotsu",Satelight,Comedy, Magic, School
3,3,721,Princess Tutu,TV,Original,38,False,"Aug 16, 2002 to May 23, 2003",16 min. per ep.,PG-13 - Teens 13 or older,8.21,36501,307.0,916,93312,3344,Summer 2002,Fridays at Unknown,"Memory-Tech, GANSIS, Marvelous AQL",Hal Film Maker,Comedy, Drama, Magic
4,4,12365,Bakuman. 3rd Season,TV,Manga,25,False,"Oct 6, 2012 to Mar 30, 2013",24 min. per ep.,PG-13 - Teens 13 or older,8.67,107767,50.0,426,182765,2082,Fall 2012,Unknown,"NHK, Shueisha",J.C.Staff,Comedy, Drama, Romance
5,5,6586,Yume-iro Pâtissière,TV,Manga,50,False,"Oct 4, 2009 to Sep 26, 2010",24 min. per ep.,G - All Ages,8.03,21618,526.0,1630,45625,826,Fall 2009,Unknown,"Yomiuri Telecasting, DAX Production, Shueisha","Studio Pierrot, Studio Hibari",Kids, School, Shoujo
6,6,178,Ultra Maniac,TV,Manga,26,False,"May 20, 2003 to Nov 11, 2003",24 min. per ep.,G - All Ages,7.26,9663,2594.0,2490,22778,122,Spring 2003,Tuesdays at 22:00 (JST),"WAO World, Studio Jack",Production Reed,Magic, Comedy, Romance
7,7,2787,Shakugan no Shana II (Second),TV,Light novel,24,False,"Oct 5, 2007 to Mar 28, 2008",24 min. per ep.,PG-13 - Teens 13 or older,7.72,126085,1066.0,332,220591,1075,Fall 2007,Fridays at 01:25 (JST),"Geneon Universal Entertainment, ASCII Media Works",J.C.Staff,Action, Drama, Fantasy
8,8,4477,Nodame Cantabile: Paris-hen,TV,Manga,11,False,"Oct 10, 2008 to Dec 19, 2008",23 min. per ep.,PG-13 - Teens 13 or older,8.24,53908,281.0,988,85660,282,Fall 2008,Fridays at 00:45 (JST),"Fuji TV, Asmik Ace Entertainment, Sony Music Entertainment",J.C.Staff,Music, Slice of Life, Comedy
9,9,853,Ouran Koukou Host Club,TV,Manga,26,False,"Apr 5, 2006 to Sep 27, 2006",23 min. per ep.,PG-13 - Teens 13 or older,8.34,335137,205.0,69,538843,24072,Spring 2006,Wednesdays at 00:50 (JST),"VAP, Hakusensha, Nippon Television Network",Bones,Comedy, Harem, Romance
